exon_id	start	end	length	n_transcripts	transcripts
ENSE00001375677	50574892	50573829	50573829	1	ENST00000342183
ENSE00003667725	50464108	50463927	50463927	8	ENST00000342183,ENST00000401669,ENST00000401710,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00000962769	50318632	50318461	50318461	8	ENST00000342183,ENST00000401669,ENST00000401710,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00000962771	50280728	50280409	50280409	8	ENST00000342183,ENST00000401669,ENST00000401710,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00001784876	50170929	50170842	50170842	8	ENST00000342183,ENST00000401669,ENST00000401710,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00001682911	50149389	50145643	50145643	1	ENST00000342183
ENSE00001552564	51259314	51259119	51259119	1	ENST00000401669
ENSE00002171876	51256332	51254640	51254640	5	ENST00000401669,ENST00000404971,ENST00000405472,ENST00000405581,ENST00000406316
ENSE00002482562	51153093	51153076	51153076	5	ENST00000401669,ENST00000404971,ENST00000405472,ENST00000405581,ENST00000406316
ENSE00003437132	51149825	51149796	51149796	5	ENST00000401669,ENST00000404971,ENST00000405472,ENST00000405581,ENST00000406316
ENSE00002446452	51149018	51149007	51149007	5	ENST00000401669,ENST00000404971,ENST00000405472,ENST00000405581,ENST00000406316
ENSE00003649136	50850753	50850452	50850452	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00002433390	50848387	50848364	50848364	3	ENST00000401669,ENST00000406316,ENST00000406859
ENSE00003496186	50847321	50847160	50847160	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003610684	50780163	50779725	50779725	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003641882	50765774	50765391	50765391	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003502853	50758568	50758365	50758365	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00001476882	50755789	50755763	50755763	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003517428	50733755	50733633	50733633	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003557927	50724852	50724471	50724471	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003666351	50723233	50723043	50723043	6	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003655408	50699609	50699436	50699436	7	ENST00000401669,ENST00000401710,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00003627205	50692699	50692580	50692580	7	ENST00000401669,ENST00000401710,ENST00000402717,ENST00000404971,ENST00000405472,ENST00000406316,ENST00000406859
ENSE00002455897	50282182	50282093	50282093	4	ENST00000401669,ENST00000402717,ENST00000404971,ENST00000405472
ENSE00001548254	50149389	50148907	50148907	2	ENST00000401669,ENST00000405472
ENSE00001551012	50723214	50723043	50723043	1	ENST00000401710
ENSE00001561903	50693625	50693599	50693599	1	ENST00000401710
ENSE00001664671	50149389	50147488	50147488	3	ENST00000401710,ENST00000404971,ENST00000406316
ENSE00002233664	51255411	51254640	51254640	2	ENST00000402717,ENST00000406859
ENSE00002520556	51206413	51206409	51206409	2	ENST00000402717,ENST00000406859
ENSE00002522828	51150553	51150542	51150542	2	ENST00000402717,ENST00000406859
ENSE00002228961	51149826	51149796	51149796	2	ENST00000402717,ENST00000406859
ENSE00002453754	51125740	51125736	51125736	2	ENST00000402717,ENST00000406859
ENSE00002460080	50966408	50966402	50966402	2	ENST00000402717,ENST00000406859
ENSE00002252481	50149389	50149082	50149082	2	ENST00000402717,ENST00000406859
ENSE00001557368	51259537	51259119	51259119	1	ENST00000404971
ENSE00001553218	51253607	51253509	51253509	1	ENST00000404971
ENSE00001552757	50848387	50848343	50848343	1	ENST00000404971
ENSE00001948333	51259250	51259119	51259119	1	ENST00000405472
ENSE00001547151	51259674	51259119	51259119	2	ENST00000405581,ENST00000406316
ENSE00001547046	51147144	51143960	51143960	1	ENST00000405581
